algo,dataset,n,avg_time_us,avg_char_ops
MSDRadix,reversed,1100,74.7143,4782
MSDRadix,nearly,1100,77.1429,4782
MSDRadixCutover,random,1100,42.4286,6351
MSDRadixCutover,reversed,1100,55,10786
MSDRadixCutover,nearly,1100,36.7143,7059
StringQuickSort,random,1200,112.286,13751
StringQuickSort,reversed,1200,279,53659
StringQuickSort,nearly,1200,178.857,36171
StringMergeSortLCP,random,1200,203,14497
StringMergeSortLCP,reversed,1200,83.7143,9342
StringMergeSortLCP,nearly,1200,92.7143,11735
MSDRadix,random,1200,83.4286,5248
MSDRadix,reversed,1200,82.7143,5248
MSDRadix,nearly,1200,87.4286,5248
MSDRadixCutover,random,1200,49.1429,7070
MSDRadixCutover,reversed,1200,65.4286,12503
MSDRadixCutover,nearly,1200,41.5714,7885
StringQuickSort,random,1300,122.857,14504
StringQuickSort,reversed,1300,315.143,58896
StringQuickSort,nearly,1300,176.143,34542
StringMergeSortLCP,random,1300,197.143,16050
StringMergeSortLCP,reversed,1300,94.1429,10337
StringMergeSortLCP,nearly,1300,107.429,12461
MSDRadix,random,1300,92.8571,5696
MSDRadix,reversed,1300,189.714,5696
MSDRadix,nearly,1300,176.286,5696
MSDRadixCutover,random,1300,83.2857,7743
MSDRadixCutover,reversed,1300,104.143,14348
MSDRadixCutover,nearly,1300,73,8852
StringQuickSort,random,1400,201.429,16450
StringQuickSort,reversed,1400,471.714,64297
StringQuickSort,nearly,1400,226.714,42992
StringMergeSortLCP,random,1400,204.714,17564
StringMergeSortLCP,reversed,1400,97.8571,11449
StringMergeSortLCP,nearly,1400,115.143,14125
MSDRadix,random,1400,98.7143,6180
MSDRadix,reversed,1400,196.714,6180
MSDRadix,nearly,1400,147,6180
MSDRadixCutover,random,1400,74.5714,8525
MSDRadixCutover,reversed,1400,109.286,16174
MSDRadixCutover,nearly,1400,52.1429,9741
StringQuickSort,random,1500,142.429,17115
StringQuickSort,reversed,1500,351.286,69365
StringQuickSort,nearly,1500,219.571,44990
StringMergeSortLCP,random,1500,223.429,19116
StringMergeSortLCP,reversed,1500,104.286,12267
StringMergeSortLCP,nearly,1500,120.571,15332
MSDRadix,random,1500,120.571,6666
MSDRadix,reversed,1500,234.714,6666
MSDRadix,nearly,1500,163.286,6666
MSDRadixCutover,random,1500,90.2857,9300
MSDRadixCutover,reversed,1500,122.143,18202
MSDRadixCutover,nearly,1500,61.4286,10718
StringQuickSort,random,1600,217.571,18505
StringQuickSort,reversed,1600,464.857,74025
StringQuickSort,nearly,1600,222.429,39587
StringMergeSortLCP,random,1600,416.286,20680
StringMergeSortLCP,reversed,1600,205.857,13244
StringMergeSortLCP,nearly,1600,221.857,16402
MSDRadix,random,1600,129.714,7166
MSDRadix,reversed,1600,117.857,7166
MSDRadix,nearly,1600,118.857,7166
MSDRadixCutover,random,1600,77.7143,10088
MSDRadixCutover,reversed,1600,120.143,20175
MSDRadixCutover,nearly,1600,103.714,11655
StringQuickSort,random,1700,201.286,20671
StringQuickSort,reversed,1700,455.857,79476
StringQuickSort,nearly,1700,368.143,56356
StringMergeSortLCP,random,1700,361.714,22252
StringMergeSortLCP,reversed,1700,161.571,14267
StringMergeSortLCP,nearly,1700,252.857,17379
MSDRadix,random,1700,210.714,7658
MSDRadix,reversed,1700,125.143,7658
MSDRadix,nearly,1700,196.571,7658
MSDRadixCutover,random,1700,154.714,10954
MSDRadixCutover,reversed,1700,134.286,22403
MSDRadixCutover,nearly,1700,73.8571,12601
StringQuickSort,random,1800,205.143,21812
StringQuickSort,reversed,1800,464.857,84875
StringQuickSort,nearly,1800,252.857,43438
StringMergeSortLCP,random,1800,347.429,23898
StringMergeSortLCP,reversed,1800,142.286,15052
StringMergeSortLCP,nearly,1800,194.571,19260
MSDRadix,random,1800,141.143,8188
MSDRadix,reversed,1800,172.714,8188
MSDRadix,nearly,1800,137.429,8188
MSDRadixCutover,random,1800,109.286,11790
MSDRadixCutover,reversed,1800,133.714,24602
MSDRadixCutover,nearly,1800,79.1429,13791
StringQuickSort,random,1900,370,24258
StringQuickSort,reversed,1900,630.714,89773
StringQuickSort,nearly,1900,368.429,66340
StringMergeSortLCP,random,1900,317.143,25438
StringMergeSortLCP,reversed,1900,160.857,15933
StringMergeSortLCP,nearly,1900,210.429,20419
MSDRadix,random,1900,293.571,8676
MSDRadix,reversed,1900,160.714,8676
MSDRadix,nearly,1900,160.714,8676
MSDRadixCutover,random,1900,111.571,12599
MSDRadixCutover,reversed,1900,144.143,26984
MSDRadixCutover,nearly,1900,103,14554
StringQuickSort,random,2000,226.857,25057
StringQuickSort,reversed,2000,890.143,94347
StringQuickSort,nearly,2000,813,47247
StringMergeSortLCP,random,2000,443.286,27075
StringMergeSortLCP,reversed,2000,314.286,16667
StringMergeSortLCP,nearly,2000,400.857,22132
MSDRadix,random,2000,228.286,9208
MSDRadix,reversed,2000,370,9208
MSDRadix,nearly,2000,263.286,9208
MSDRadixCutover,random,2000,177.571,13501
MSDRadixCutover,reversed,2000,227.857,29174
MSDRadixCutover,nearly,2000,128.857,15705
StringQuickSort,random,2100,469,25636
StringQuickSort,reversed,2100,832.286,100086
StringQuickSort,nearly,2100,637.143,69005
StringMergeSortLCP,random,2100,656.143,28779
StringMergeSortLCP,reversed,2100,202.571,17712
StringMergeSortLCP,nearly,2100,242,23381
MSDRadix,random,2100,179.286,9724
MSDRadix,reversed,2100,189.143,9724
MSDRadix,nearly,2100,205.143,9724
MSDRadixCutover,random,2100,162,14439
MSDRadixCutover,reversed,2100,171.143,31602
MSDRadixCutover,nearly,2100,188.143,16763
StringQuickSort,random,2200,235.571,26296
StringQuickSort,reversed,2200,570.714,105205
StringQuickSort,nearly,2200,652.429,76096
StringMergeSortLCP,random,2200,471,30415
StringMergeSortLCP,reversed,2200,192.714,18971
StringMergeSortLCP,nearly,2200,191.714,24660
MSDRadix,random,2200,203.571,10220
MSDRadix,reversed,2200,288.571,10220
MSDRadix,nearly,2200,349.286,10220
MSDRadixCutover,random,2200,201,15293
MSDRadixCutover,reversed,2200,264,34295
MSDRadixCutover,nearly,2200,172.429,18010
StringQuickSort,random,2300,461.143,29596
StringQuickSort,reversed,2300,689,111515
StringQuickSort,nearly,2300,466.857,85986
