algo,dataset,n,avg_time_us,avg_char_cmps
MergeSort,random,2500,1264.29,35636
MergeSort,reversed,2500,968.714,22624
MergeSort,nearly,2500,1008,28016
QuickSort,random,2600,646.143,409973
QuickSort,reversed,2600,471.286,370335
QuickSort,nearly,2600,368.714,366324
MergeSort,random,2600,1274.57,37355
MergeSort,reversed,2600,1464.43,23767
MergeSort,nearly,2600,942.857,30324
QuickSort,random,2700,677,424247
QuickSort,reversed,2700,381.143,395004
QuickSort,nearly,2700,359.429,356259
MergeSort,random,2700,1426.57,39173
MergeSort,reversed,2700,1290,24919
MergeSort,nearly,2700,1793.71,31909
QuickSort,random,2800,1214.71,448008
QuickSort,reversed,2800,588,418329
QuickSort,nearly,2800,742.143,416578
MergeSort,random,2800,1829.14,40877
MergeSort,reversed,2800,1325.29,26000
MergeSort,nearly,2800,1190,33450
QuickSort,random,2900,741.714,462713
QuickSort,reversed,2900,531.143,434704
QuickSort,nearly,2900,477.857,433435
MergeSort,random,2900,1650.71,42701
MergeSort,reversed,2900,1221.71,27233
MergeSort,nearly,2900,1174.29,34109
QuickSort,random,3000,750.571,471473
QuickSort,reversed,3000,444.714,458652
QuickSort,nearly,3000,677.571,458438
MergeSort,random,3000,1912.86,44376
MergeSort,reversed,3000,1183.14,28175
MergeSort,nearly,3000,1182.57,36420
