step,processed,F0_mean,Nt_mean,Nt_sd,Nt_minus_sd,Nt_plus_sd
0,5000,4887.100000,4893.289266,253.324262,4639.965004,5146.613527
1,10000,9712.866667,9568.099179,418.460777,9149.638402,9986.559955
2,15000,14529.566667,14167.014102,814.866669,13352.147433,14981.880770
3,20000,19337.100000,18914.461643,1344.689411,17569.772232,20259.151055
4,25000,24143.800000,23676.530057,1629.841195,22046.688862,25306.371251
5,30000,28942.166667,28600.804289,1943.177799,26657.626490,30543.982088
6,35000,33734.733333,33533.459564,2304.811603,31228.647961,35838.271168
7,40000,38522.333333,38174.613705,2248.585417,35926.028288,40423.199123
8,45000,43303.700000,42329.044848,2400.271243,39928.773606,44729.316091
9,50000,48082.333333,47321.702640,2624.105041,44697.597599,49945.807681
10,55000,52851.600000,52133.438487,2821.135961,49312.302527,54954.574448
11,60000,57622.466667,57446.371657,2974.657024,54471.714633,60421.028681
12,65000,62386.066667,62236.130789,3446.421815,58789.708974,65682.552605
13,70000,67143.100000,67125.602253,4101.004511,63024.597742,71226.606764
14,75000,71903.366667,72325.743485,4239.687462,68086.056023,76565.430947
15,80000,76660.300000,77492.027080,4650.041004,72841.986077,82142.068084
16,85000,81409.200000,82168.205079,4946.272428,77221.932652,87114.477507
17,90000,86154.666667,87158.833687,5067.976286,82090.857400,92226.809973
18,95000,90898.300000,92747.905241,6526.236998,86221.668243,99274.142239
19,100000,95634.500000,97419.648697,6651.197313,90768.451384,104070.846010
